Concatenate elements of a list A of multiple integers to a single integer	sum(d * 10 ** i for i, d in enumerate(A[::-1]))
convert a list of integers into a single integer	r = int(''.join(map(str, x)))
convert a DateTime string back to a DateTime object of format A	datetime.strptime('2010-11-13 10:33:54.227806', A)
get the average of a list values for each key in dictionary A)	[(i, sum(j) / len(j)) for i, j in list(A.items())]
zip two lists A and B into a list of two tuples containing elements at the same index in each list	zip(A, B)
prepend string A to all items in list B	['A{0}'.format(i) for i in B]
regex for repeating words in a string A	re.sub('(?<!\\S)((\\S+)(?:\\A+\\2))(?:\\A+\\2)+(?!\\S)', '\\1', A)
normalize a pandas dataframe A by row	A.div(A.sum(axis=1), axis=0)
swap values in a tuple/list inside a list A	map(lambda t: (t[1], t[0]), A)
Swap values in a tuple/list in list A	[(t[1], t[0]) for t in A]
Find next sibling element in Python Selenium?	"driver.find_element_by_xpath(""//p[@id, 'one']/following-sibling::p"")"
find all occurrences of the pattern A within B	re.findall(A, B)
generate the combinations of 3 from a set A	print(list(itertools.combinations(A, 3)))
add multiple columns A, B, C to pandas data frame D from lambda function E	D[['A', 'B', 'C']] = D.apply(E, axis=1)
BeautifulSoup search string A inside tag B	soup.find_all(B, string=A)
Convert a datetime object A into readable format B	A.strftime('B')
parse string A to int when string contains a number	int(''.join(c for c in A if c.isdigit()))
add dictionary A to key B of dictionary C	C[B].update(A)
transforming the string A into dictionary	dict(map(int, x.split(':')) for x in A.split(','))
How to select element with Selenium Python xpath	"driver.find_element_by_xpath(""//div[@id='a']//a[@class='click']"")"
find rows matching `(0,1)` in a 2 dimensional numpy array A	np.where((A == (0, 1)).all(axis=1))
How to delete a record in Django models?	SomeModel.objects.filter(id=id).delete()
build a dictionary containing the conversion of each list in list A to a key/value pair as its items	dict(A)
convert list A to dictionary having each two adjacent elements as key/value pair	dict(zip(A[::2], A[1::2]))
assign float 9.8 to variable A	A = 9.8
"separate numbers from characters in string ""30m1000n20m"""	re.findall('(([0-9]+)([A-Z]))', '20M10000N80M')
separate numbers and characters in string A	re.findall('([0-9]+|[A-Z])', A)
separate numbers and characters in string A	re.findall('([0-9]+)([A-Z])', A)
Get a list of  words from a string A removing punctuation	re.compile('\\w+').findall('A')
Convert string A into datetime.time object	datetime.datetime.strptime(A, '%H:%M').time()
request url A without verifying SSL certificates	requests.get(A, verify=False)
Extract values not equal to 0 from numpy array A	A[a != 0]
map two lists A and B into a dictionary	new_dict = {k: v for k, v in zip(A, B)}
map two lists A and B into a dictionary	dict((k, v) for k, v in zip(A, B))
map two lists A and B into a dictionary	dict([(k, v) for k, v in zip(A, B)])
find the string matches within parenthesis from a string A using regex	m = re.search('\\[(\\w+)\\]', A)
Enable the SO_REUSEADDR socket option in socket object A to fix the error `only one usage of each socket address is normally permitted`	A.setsockopt(SOL_SOCKET, SO_REUSEADDR, 1)
append the sum of each tuple pair in the grouped list A and list B elements to list C	C = [(a + b) for a, b in zip(A, B)]
converting hex string A to its integer representations	[ord(c) for c in A.decode('hex')]
sort list A by second element of each tuple in ascending and third element of each tuple in descending	print(sorted(A, key=lambda t: (-t[2], t[0])))
get list of duplicated elements in range of 3	[y for x in range(3) for y in [x, x]]
read the contents of the file A into B	B = open(A).read()
divide each element in list A by integer B	A[:] = [(x / B) for x in A]
python: dots in the name of variable in a format string	"""""""Name: {0[person.name]}"""""".format({'person.name': 'Joe'})"
replace white spaces in dataframe A with B	A.replace(' ', B, regex=True)
convert date A to datetime	datetime.datetime.combine(A, datetime.time.min)
convert tuple A to string B	B = str(A)
get modified time of file A	time.ctime(os.path.getmtime(A))
get creation time of file A	time.ctime(os.path.getctime(A))
get modification time of file A	t = os.path.getmtime(A)
get modification time of file A	os.A.getmtime(A)
get modified time of file A	print(('last modified: %s' % time.ctime(os.path.getmtime(A))))
get the creation time of file A	print(('created: %s' % time.ctime(os.path.getctime(A))))
get the creation time of file A	return os.path.getctime(A)
execute os command ATASKKILL /F /IM firefox.exeA	BAB BABoBABsBAB.BABsBAByBABsBABtBABeBABmBAB(BAB'BABTBABABABSBABKBABKBABIBABLBABLBAB BAB/BABFBAB BAB/BABIBABMBAB BABfBABiBABrBABeBABfBABoBABxBAB.BABeBABxBABeBAB'BAB)BAB BAB
split string A on whitespaces using a generator	"return (x.group(0) for x in re.finditer(""[A-Za-z']+"", A))"
Unpack each value in list A to its placeholder B in string '%.2f'	""""""", """""".join(['B.2f'] * len(A))"
match regex pattern A with string B	print(re.match(A, B).group(1))
replace parentheses and all data within it with empty string A in column B of dataframe C	C[B].str.replace('\\(.*\\)', A)
create a list A containing elements form list B if first element of list B is in list C	A = [x for x in B if x[0] in C]
generate all possible string permutations of each two elements in list A	print([''.join(a) for a in combinations(A, 2)])
get a list of items form nested list A where third element of each item contains string B	[x for x in A if B in x[2]]
Sort lists in the list A by the element at index 3 of each list	A.sort(key=lambda x: x[3])
Log message A on the root logger.	logging.info(A)
Return a subplot axes positioned by the grid definition `1,1,1` using matpotlib	fig.add_subplot(1, 1, 1)
Sort dictionary A by value in ascending order	sorted(list(A.items()), key=operator.itemgetter(1))
Sort dictionary A by value in ascending order	sorted(A, key=A.get)
Sort dictionary A by value in descending order	sorted(A, key=A.get, reverse=True)
Sort dictionary A by value in ascending order	sorted(list(A.items()), key=(lambda x: x[1]))
elementwise product of 3d arrays A and B	np.einsum('ijk,ikl->ijl', A, B)
Print a string A with string formatting	print('I have: {0.price}'.format(A))
Write a comment A to a file object B	B.write('A')
move the last item in list A to the beginning	A = A[-1:] + A[:-1]
Parse DateTime object A using format B	A.strftime(B)
Normalize line ends in a string A	A.replace('\r\n', '\n').replace('\r', '\n')
find the real user home directory using python	os.path.expanduser('~user')
index a list A with another list B	T = [A[i] for i in B]
get a list of words A of a file B	A = open(B).read().split()
Get a list of lists with summing the values of the second element from each list of lists A	[[sum([x[1] for x in i])] for i in A]
summing the second item in a list of lists of lists	[sum([x[1] for x in i]) for i in data]
sort objects in `Articles` in descending order of counts of A	Article.objects.annotate(like_count=Count('A')).order_by('-like_count')
return a DateTime object with the current UTC date	today = datetime.datetime.utcnow().date()
create a list containing the multiplication of each elements at the same index of list A and list B	[(a * b) for a, b in zip(A, B)]
fetch smilies matching regex pattern A in string B	re.findall(A, B)
match the pattern A to the string B	re.match(A, B)
convert a list of objects A to json string B	B = json.dumps([ob.__dict__ for ob in A])
create a list A of B zeros	A = [0] * B
decode the string A  to UTF-8	A.decode('utf-8', 'ignore')
Match regex pattern A on string B	re.findall(A, B)
Create a key A if it does not exist in dict B and append element C to value.	B.setdefault(A, []).append(C)
Get the value of the minimum element in the second column of array A	A[np.argmin(A[:, (1)])]
extend dictionary A with key/value pairs of dictionary B	A.update(B)
removing key values pairs with key A from a list of dictionaries B	[{k: v for k, v in d.items() if k != A} for d in B]
Removing key values pairs from a list of dictionaries	[dict((k, v) for k, v in d.items() if k != 'mykey1') for d in mylist]
create 3 by 3 matrix of random numbers	numpy.random.random((3, 3))
make new column A in panda dataframe by adding values from other columns B and C	df[A] = df[B] + df[C]
create a list of values from the dictionary A that have a key with a case insensitive match to B	[value for key, value in list(A.items()) if B in key.lower()]
append a path A in system path	sys.path.append('A')
get all digits in a string A after a B character	re.findall('\\d+(?=B^B]+$)', A)
python pickle/unpickle a list to/from a file A	pickle.load(open(A, 'rb'))
Clicking a link using selenium using python	driver.find_element_by_xpath('xpath').click()
count unique index values in column A in pandas dataframe B	B.groupby(level=A).agg(lambda x: x.index.get_level_values(1).nunique())
Create a pandas dataframe of values from a dictionary A which contains dictionaries of dictionaries	pd.concat(map(pd.DataFrame, iter(A.values())), keys=list(A.keys())).stack().unstack(0)
find out the number of non-matched elements at the same index of list A and list B	sum(1 for i, j in zip(A, B) if i != j)
make all keys lowercase in dictionary A	A = {(a.lower(), b): v for (a, b), v in list(A.items())}
sort list A based on first element of each tuple and by the length of the second element of each tuple	A.sort(key=lambda x: [x[0], len(x[1]), x[1]])
trim whitespace in string A	A.strip()
trim whitespace (including tabs) in A on the left side	A = A.lstrip()
trim whitespace (including tabs) in A on the right side	A = A.rstrip()
trim characters A in B	B = B.strip(A)
trim whitespaces (including tabs) in string A	print(re.sub('[\\A+]', '', A))
In Django, filter A based on all entities in [B, C, D]	A.exclude(prerequisites__status__in=[B, C, D])
Change background color in Tkinter	root.configure(background='black')
convert dict A to numpy structured array	numpy.array([(key, val) for key, val in A.items()], dtype)
Concatenate dataframe A to dataframe B sorted by values of the column C	pd.concat([A, B.sort_values(C)])
replace the last occurence of an expression A with B in a string C	re.sub('(.*)A', '\\1B', C)
get the maximum of A and B values in a dictionary	print(max(d, key=lambda x: (d[x][A], d[x][B])))
Filter Django objects by A with ids B and C	Book.objects.filter(A__id=B).filter(A__id=C)
split string A based on case-insensitive matching using string B	re.compile(B, re.IGNORECASE).split(A)
get list of sums of neighboring integers in string A	[sum(map(int, s)) for s in A.split()]
Get all the keys from dictionary A whose value is B	[i for i in A if A[i] == B]
converting byte string A in unicode string	A.decode('unicode_escape')
unpivot first 2 columns into new columns A and B from a pandas dataframe C	pd.melt(C, id_vars=['farm', 'fruit'], var_name=A, value_name=B)
add key A and value B to dictionary `default_data `	default_data['A'] = B
add key A and value B to dictionary `default_data `	default_data.update({'A': B, })
add key value pairs A , 4 and B , 5 to dictionary C	C.update({A: 4, B: 5, })
Get the first and last 3 elements of list A	A[:3] + A[-3:]
reset index to default in dataframe A	A = A.reset_index(drop=True)
For each index A from 0 to 3, append the element at index A of list B to the list at index A of list a.	[a[A].append(B[A]) for A in range(3)]
get canonical path of the filename A	os.A.realpath(A)
check if dictionary A is in dictionary B	set(A).issubset(set(B))
find all the indexes in a Numpy 2D array where the value is 1	zip(*np.where(a == 1))
How to find the index of a value in 2d array in Python?	np.where(a == 1)
Collapse hierarchical column index to level 0 in dataframe A	A.columns = A.columns.get_level_values(0)
create a matrix from a list A	x = scipy.matrix(A).transpose()
add character A after word B in string C	C = re.sub('(\\bget\\b)', '\\1A', C)
get a numpy array that contains the element wise minimum of three 3x1 arrays	np.array([np.arange(3), np.arange(2, -1, -1), np.ones((3,))]).min(axis=0)
add a column A to dataframe B for index in range	B[A] = list(range(1, len(B) + 1))
set environment variable A equal to 1	os.environ[A] = '1'
Get a environment variable A	print(os.environ['A'])
set environment variable A to B	os.environ[A] = B
update dictionary A, overwriting values where keys are identical, with contents of dictionary B	A.update(B)
get all the values in column A from pandas data frame B	B['A']
make a line plot with errorbars, A, from data `x, y, err` and set color of the errorbars to B (yellow)	A = plt.errorbar(x, B, yerr=err, ecolor='B')
find all files with extension A in directory B	results += [each for each in os.listdir(B) if each.endswith(A)]
add unicode string A to UTF-8 decoded string B	print(B.decode('utf8') + A)
lower-case the string obtained by replacing the occurrences of regex pattern A in string B with eplacement C	re.sub(A, C, B).lower()
Setting stacksize in a python script	os.system('ulimit -s unlimited; some_executable')
format a string A using string formatting	"""""""{0:.3g}"""""".format(A)"
append the first element of array A to array A	numpy.append(A, A[0])
return the column for value 38.15 in dataframe A	A.ix[:, (A.loc[0] == 38.15)].columns
merge 2 dataframes A and B with same values in a column C with and index D	B[C] = B.CET.map(A.set_index(D)[C])
load a json data A into variable B	B = json.loads(A)
convert radians 1 to degrees	math.cos(math.radians(1))
count the number of integers in list A	sum(isinstance(x, int) for x in A)
replacing  A with B in a string  using regular expressions	'used\u200b'.replace(A, B)
run function A simultaneously	threading.Thread(target=A).start()
sum of squares values in a list A	sum(i * i for i in A)
