nを切り捨てながらn2分の一にする	n //= n2
ビスク色の散布図を描画する	plt.scatter(データ列x, データ列y, color='bisque')
option: マーカーの色をブルーバイオレットにする	markerfacecolor = 'blueviolet'
文字列中にひとつでも非小文字が含まれるか調べる	any(not c.islower() for c in s)
日付時刻データをn週間前に戻す	aDatetime - datetime.timedelta(weeks=n)
option: 配列のデータ型を指定する	dtype = np.int8
ヒストグラムの色をダークオレンジに設定する	plt.hist(データ列, color='darkorange')
データフレームの列の各データが何回出現するか見る	df[col].value_counts()
ホールドアウト法を使う	X_train, X_test, y_train, y_test = train_test_split(説明変数, 目的変数, test_size=0.3)
折れ線グラフを青紫色で描画する	plt.plot(データ列x, データ列y, color='violet')
ヒストグラムの色をダークオリーブグリーンに設定する	plt.hist(データ列, color='darkolivegreen')
option: グラフの色をカデットブルーに設定する	color = 'cadetblue'
折れ線グラフの色をホワイトスモークに設定する	plt.plot(データ列x, データ列y, color='whitesmoke')
配列をビン数nでビン分割して、namesのラベルをつける	pd.cut(aArray, n, labels=names)
ハニーデュー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='honeydew')
ゴールデンロッド色の散布図を描画する	plt.scatter(データ列x, データ列y, color='goldenrod')
ラジアンの角度	math.degrees(x)
折れ線グラフのバツマーカーの大きさを変更する	plt.plot(データ列x, データ列y, marker='x', markersize=2.0)
散布図の色をグリーンにする	plt.scatter(データ列x, データ列y, color='green')
辞書にキーワード引数で更新する	aDict.update(**kwargs)
マルーン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='maroon')
棒グラフの色をロージーブラウンにする	plt.bar(データ列x, データ列y, color='rosybrown')
データシリーズを十の位で丸めて、整数型にする	ds.round(-1).astype(int)
指定した列のカテゴリで集計し、それぞれの最小値を求める	df.groupby('列A').min()
棒グラフの色をグレーにする	plt.bar(データ列x, データ列y, color='grey')
option: ライトブルー色を使う	color = 'lightblue'
グラフの用途を画面に設定する	sns.set(context='notebook')
ヒストグラムの色をラベンダーに設定する	plt.hist(データ列, color='lavender')
名前付きタプルを定義する	C = collections.namedtuple('クラス名', プロパティ名)
リストの末尾	aList[-1]
文字列の開始位置以降に部分文字列が含まれるか調べる	s.find(sub, start) != -1
option: マーカーの色をゴーストホワイトにする	markerfacecolor = 'ghostwhite'
黄色色の散布図を描画する	plt.scatter(データ列x, データ列y, color='yellow')
ファイルをバイナリモードでオープンする]	open(filepath, mode='rb')
散布図に黒い丸マーカーを使う	plt.plot(データ列x, データ列y, marker='o', c='k')
データフレームの中の列をn個にビン分割して、namesのラベルをつける	pd.cut(df[col], n, labels=names)
耐火レンガ色のヒストグラムを描画する	plt.hist(データ列, color='firebrick')
異なる列をキーとして二つのデータフレームを左ジョインする	pd.merge(df, df2, left_on='列A', right_on='列B', how='left')
下三角印で散布図を描画する	plt.scatter(データ列x, データ列y, marker='v')
文字列を末尾から空白で区切る	s.rsplit()
横軸の目盛を非表示にする	plt.xticks([])
横棒グラフの色をシャルトリューズにする	plt.barh(データ列x, データ列y, color='chartreuse')
行列の列ごとの最小値	np.min(aArray, axis=0)
要素ひとつのりスト	[element]
データフレームから重複をドロップする	df.drop_duplicates(inplace=True)
イテラブルとイテラブルを連結する	itertools.chain(iterable, iterable2)
イテラブルを両端キューに変換する	collections.deque(iterable)
option: マーカーの色をバリーウッドにする	markerfacecolor = 'burlywood'
ダークスレートブルー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='darkslateblue')
リストを等間隔でn個にビン分割する	pd.cut(aList, n)
option: グラフの色をシャルトリューズに設定する	color = 'chartreuse'
丸印で散布図を描画する	plt.scatter(データ列x, データ列y, marker='o')
両端キューをポップする	deq.pop()
タン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='tan')
横棒グラフの色をアイボリーにする	plt.barh(データ列x, データ列y, color='ivory')
ダークグリーン色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='darkgreen')
ヒストグラムをライム色で描画する	plt.hist(データ列, color='lime')
ダークシアン色のヒストグラムを描画する	plt.hist(データ列, color='darkcyan')
散布図に右三角マーカーを使う	plt.scatter(データ列x, データ列y, marker='>')
改行	'\n'
棒グラフをモカシン色で描画する	plt.bar(データ列x, データ列y, color='moccasin')
折れ線グラフのマーカーをポイントにする	plt.plot(データ列x, データ列y, marker='.')
空のカウンタ	collections.Counter()
散布図のマーカーを青くする	plt.scatter(データ列x, データ列y, markerfacecolor='b')
リストを引数として展開して表示する	print(*aList)
option: グラフの色をレベッカパープルに設定する	color = 'rebeccapurple'
ライトスレイグレー色のヒストグラムを描画する	plt.hist(データ列, color='lightslategray')
option: グラフの色をライトスレイグレーに設定する	color = 'lightslategrey'
