option: 赤色を使う	color = 'red'
棒グラフの色をミディアムアクアマリンにする	plt.bar(データ列x, データ列y, color='mediumaquamarine')
データフレームの尖り	df.skew()
散布図の左三角マーカーの大きさを変更する	plt.scatter(データ列x, データ列y, marker='<', markersize=2.0)
ヒストグラムの色をクリムゾンに設定する	plt.hist(データ列, color='crimson')
ディムグレー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='dimgray')
カウンタ同士で積集合演算する	aCounter & aCounter2
データシリーズのNaNを中央値に設定する	ds.fillna(ds.median())
散布図の右三角マーカーの色を変更する	plt.scatter(データ列x, データ列y, marker='>', markerfacecolor='#800080')
option: 値を置き換える	inplace = True
リストの末尾	aList[-1]
昇順にデータフレームをある列で並べる	df.sort_values(by='列A', ascending=True)
イテラブルの全順列	itertools.permutations(iterable)
散布図のマーカーをポイントにする	plt.scatter(データ列x, データ列y, marker='.')
日付データが木曜日か調べる	aDate.weekday() == 3
別の文字列に回数を制限して文字列中の部分文字列を置き換える	s.replace(sub, newsub, n)
散布図の色をラベンダーにする	plt.scatter(データ列x, データ列y, color='lavender')
option: バイナリモードにする	mode = 'rb'
オブジェクトは論理値クラスか調べる	isinstance(obj, bool)
折れ線グラフの左三角マーカーを黒色にする	plt.plot(データ列x, データ列y, marker='<', markerfacecolor='k')
紺碧色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='azure')
option: 改行コードをUNIXに指定する	newline = '\n'
三つのデータフレームを縦方向に結合する	pd.concat([df, df2, df3], axis=1)
散布図のマーカーの大きさをnに設定する	plt.scatter(データ列x, データ列y, s=n)
データフレームを関数の値によってグループ化して、列挙する	[(name, group_df) for name, group_df in df.groupby(関数)]
数列を箱髭図にする	plt.boxplot(データ列)
ヒストグラムをマゼンタ色で描画する	plt.hist(データ列, color='magenta')
nがn2以下か調べる	n <= n2
スピアマン相関係数でデータフレームの選択した列の相関行列を求める	df[['列A', '列B']].corr(method='spearman')
TSVファイルでデータフレームを保存する	df.to_csv('file.tsv', sep='\t')
リストを四分位数ごとにビン分割する	pd.qcut(aList, 4)
数式を数値にする	float(e)
ミディアムシアグリーン色として線グラフを描画する	plt.plot(データ列x, データ列y, color='mediumseagreen')
欠損値がある行をドロップする	df.dropna(inplace=True)
option: マーカーの色をライムグリーンにする	markerfacecolor = 'limegreen'
折れ線グラフを青色で描画する	plt.plot(データ列x, データ列y, color='blue')
パールバイオレットレッド色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='palevioletred')
日付時刻データををn分後に進める	aDatetime + datetime.timedelta(minutes=n)
リストを中央値でビン分割する	pd.qcut(aList, 2)
option: 紺色を用いる	color = 'darkblue'
マッピングを複製する	aDict.copy()
文字列を最後の部分文字列で二分する	s.rpartition(sub)
データシリーズが何日か見る	ds.dt.day
ヒストグラムの色をサーモンに設定する	plt.hist(データ列, color='salmon')
リストとリストについての散布図に赤いダイアモンドマーカーを描画する	plt.plot(データ列x, データ列y, marker='D', c='r')
散布図をレモンシフォン色として描画する	plt.scatter(データ列x, データ列y, color='lemonchiffon')
カーキ色のヒストグラムを描画する	plt.hist(データ列, color='khaki')
折れ線グラフのクロス印の色を変更する	plt.plot(データ列x, データ列y, marker='x', markerfacecolor='#800080')
ゴールド色で横棒グラフを描画する	plt.barh(データ列x, データ列y, color='gold')
平均と分散でデータを標準化を行う	sklearn.preprocessing.StandardScaler().fit_transform(データ)
ミッドナイトブルー色で棒グラフを描画する	plt.bar(データ列x, データ列y, color='midnightblue')
組の末尾のn要素を取り除く	aTuple[:-n]
スプリンググリーン色のヒストグラムを描画する	plt.hist(データ列, color='springgreen')
棒グラフをダークグレー色で描画する	plt.bar(データ列x, データ列y, color='darkgrey')
データフレームの一部のカラムを丸めて、整数型にする	df[['列A', '列B']].round().astype(int)
プロットを表示する	plt.show()
文字列をASCII限定としてパターンで分ける	re.split(pattern, s, flags=re.ASCI)
全ての十六進数字	string.hexdigits
