エラーメッセージ<tab>コード	原因<tab>解決策
TypeError: '(['kcal'], ['temperature'])' is an invalid key<tab>X = df[['kcal'],['temperature']]  # 価格以外を全て説明変数に	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
TypeError: '(['week'], ['weathere'], ['kcal'])' is an invalid key<tab>X = df[['week'],['weathere'],['kcal']]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
AttributeError: 'NoneType' object has no attribute 'mean'<tab>print(np.array(scores)).mean(())	print文は平均値を求められない<tab>()の数に注意する
ValueError: invalid literal for int() with base 10: '4 3'<tab>print(int(x))	'4 3'はint型に変換できない<tab>print(int(x))をprint(x)に直す
TypeError: '(['部屋数'], ['低所得率'])' is an invalid key<tab>X = df[['部屋数'], ['低所得率']]  # ひとつ選ぶ	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
NameError: name 'floar' is not defined<tab>x = floar(input())	floatのスペルが違う<tab>floatに直す
AttributeError: 'DecisionTreeRegressor' object has no attribute 'feature_importances'<tab>plt.barh(X_train.columns[::-1], model.feature_importances[::-1])	DecisionTreeRegressorにfeature_importancesはない<tab>RandomForestClassifierとRandomForestRegressorにfeature_importancesを使用できる
NameError: name 'value_counts' is not defined<tab>df[['アルコール','パリピ']],value_counts()	value_countsが定義されていない<tab>メソッドの呼び出し方とスペルを確認する
NameError: name 'add' is not defined<tab>add	変数addが見つからない<tab>add=...のように定義する
"ValueError: Expected 2D array, got scalar array instead:
array=0.02729.
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.<tab>model.fit(X[1][2], y)"	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-1,1)をつける
"KeyError: ""['datetime'] not found in axis""<tab>df.drop('datetime', axis=1, inplace=True)"	データフレームdfにdatetime列が見つからない<tab>データフレームまたは列名を見直す
"KeyError: ""None of [Index(['p', 'r', 'i', 'n', 't', 'Shift', '('], dtype='object')] are in the [columns]""<tab>X_train = X_train_c1_a_05[[ 'p', 'r', 'i', 'n', 't', 'Shift', '(' ]]"	データフレームX_train_c1_a_05に列'p', 'r', 'i', 'n', 't', 'Shift', '('が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name 'S' is not defined<tab>N[0] = S	変数Sが見つからない<tab>S=...のように定義する
AttributeError: type object 'str' has no attribute 'input'<tab>a = str.input()	str型のinput方法が異なる<tab>str(input())に直す
NameError: name 'plt' is not defined<tab>plt.scatter(df['部屋数'], df['住宅価格'])	matplotlibがimportしていない<tab>import matplotlib.pyplot as pltでpltとしてimportする
ValueError: Found input variables with inconsistent numbers of samples: [104, 83]<tab>print('R2(テスト):', r2_score(y_test, y_pred))	y_testとy_predのデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
ValueError: invalid literal for int() with base 10: '123,345'<tab>A,B=map(int,input().split())	区切り文字の設定が','になっていない<tab>map(int,input().split())をmap(int,input().split(','))に直す
ZeroDivisionError: division by zero<tab>1/0	割る数に0は使用できない<tab>割る数の値を0以外に変更する
NameError: name 'G3' is not defined<tab>df.groupby('兄弟姉妹')[G3].describe()	変数G3が見つからない<tab>G3=...のように定義する
NameError: name 'NN' is not defined<tab>N=NN % 10	変数NNが見つからない<tab>NN=...のように定義する
NameError: name 'ba' is not defined<tab>mi=[x for x in b if a[i]-ab<=ba[i]+ab]	変数baが見つからない<tab>ba=...のように定義する
AttributeError: module 'matplotlib.pyplot' has no attribute 'fighre'<tab>plt.fighre(figsize=(6,6))	plt.figureのスペルが違う<tab>plt.figureに直す
KeyError: ('kcal', 'weather_num', 'week_num', 'temperature')<tab>columns = df['kcal', 'weather_num', 'week_num', 'temperature']	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
TypeError: __init__() got an unexpected keyword argument 'max_depth'<tab>model = LinearRegression(max_depth=3)	LinearRegressionではmax_depthを使用できない<tab>モデルの見直しをする
NameError: name 'column1' is not defined<tab>rho = corr(df[column1,column2], df['住宅価格'])	変数column1が見つからない<tab>column1=...のように定義する
"KeyError: ""None of [Index(['教員'], dtype='object')] are in the [columns]""<tab>X = df[['教員']]  # 説明変数"	データフレームdfに列'教員'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name 'blue' is not defined<tab>sns.kdeplot(df.groupby('学習時間').get_group(1)['G3'], shade = True, color = blue)	変数blueは見つからない<tab>blue=...で定義するまたは'blue'にする
AttributeError: 'list' object has no attribute 'replace'<tab>print(n.replace('1', 'X').replace('9', '1').replace('X', '9'))	リストXは置き変えられない<tab>Xをまだ使ってない文字に変える
