文字列を複数行対応としてパターンで区切る	re.split(pattern, s, flags=re.MULTILINE)
＜オプション＞右三角マーカーを使う	marker = '>'
連立方程式の解を求める	sympy.solve([e, e2])
文字の文字コード	ord(ch)
nをn2で割った余りをnに代入する	n %= n2
文字列のケースを変換する	s.casefold()
＜オプション＞追加モードを使う	mode = 'a'
配列とイテラブルについて色差別ない色の折れ線グラフを描画してその線幅をnに指定する	plt.plot(xdata, ydata, linewidth=n, color='colorblind')
＜オプション＞グラフの色をスラグレーに設定する	color = 'slategray'
nマイナスn2	n - n2
折れ線グラフに黒い右三角マーカーを描画する	plt.plot(データ列, データ列2, marker='>', markerfacecolor='k')
折れ線グラフを描画して、その色をアンティークホワイトに設定する	plt.plot(データ列, データ列2, color='antiquewhite')
ミディアムスプリンググリーン色の線グラフを描画する	plt.plot(データ列, データ列2, color='mediumspringgreen')
＜オプション＞スチールブルー色を使う	color = 'steelblue'
本日が月曜日か調べる	datetime.datetime.today().weekday() == 0
リストとリストのパステル調のグラフを描画して、その色を青にする	plt.plot(xdata, ydata, linestyle='pastel', color='b')
ヒストグラムの色を紺に設定する	plt.hist(データ列, color='darkblue')
文字列中に部分文字列がいくつか含まれるか調べる	s.count(sub)
配列とリストについての散布図にカラーコードの丸マーカーを描画する	plt.plot(xdata, ydata, marker='o', c=rgb)
＜オプション＞スノー色を使う	color = 'snow'
実数の指数	math.frexp(x)[1]
折れ線グラフの色をサンディーブラウンに設定する	plt.plot(データ列, データ列2, color='sandybrown')
データフレームのカラムの年	df[col].dt.year
＜オプション＞先頭の行をヘッダに設定する	header = 0
色差別ないの折れ線の線幅を指定する	plt.plot(xdata, ydata, linestyle='colorblind', linewidth=n)
自然数個のものからk個取り出したときの並べ方の総数	math.perm(n, k)
リストとリストについての散布図に赤いポイントマーカーを描画する	plt.plot(xdata, ydata, marker='.', c='r')
数式の変数についてのn階微分を求める	sympy.diff(e, z, n)
折れ線グラフを一点鎖線で描画する	plt.plot(データ列, データ列2, linestyle='dashbot')
＜オプション＞ハニーデュー色を用いる	color = 'honeydew'
辞書のキーを列挙する	list(aDict)
データフレームの欠損値を最大値で埋める	df.fillna(df.max())
整数nがタプルのどれかか確認する	n in aTuple
ダーク・スラテグレー色のヒストグラムを描画する	plt.hist(データ列, color='darkslategrey')
線グラフを描画して色をスレートブルーに指定する	plt.plot(データ列, データ列2, color='slateblue')
平均と標準偏差から疑似乱数を生成する	random.normalvariate(mu=0.5, sigma=0.2)
ヒストグラムの色をグリーンイエローに設定する	plt.hist(データ列, color='greenyellow')
ヒストグラムの色を小麦色に指定する	plt.hist(データ列, color='wheat')
日付時刻データをタプルに変換する	aDatetime.timetuple()
Pandasで、dateStringを日付データに変換する	pd.to_datetime(dateString)
集合をタプルに変換する	tuple(aSet)
グラフにy=0の破線を付ける	plt.axhline(y=0, linestyle='dashed')
パールゴールデンロッド色のヒストグラムを描画する	plt.hist(データ列, color='palegoldenrod')
nが-9以上、9以下か調べる	-9 <= n <= 9
線グラフの色を白に設定する	plt.plot(データ列, データ列2, color='white')
折れ線グラフの色をロージーブラウンに設定する	plt.plot(データ列, データ列2, color='rosybrown')
データフレームのカラムのタイムゾーンを文字列に設定する	df[col].tz_convert(s)
辞書をソートしてJSON形式の文字列に変換する	json.dumps(aDict, ensure_ascii=False, sort_keys=True)
ヒストグラムの色をコーンズシルクに設定する	plt.hist(データ列, color='cornsilk')
文字列中に部分文字列がないか調べる	sub not in s
ヒストグラムを描画して、その色をディムグレーに設定する	plt.hist(データ列, color='dimgrey')
year年month月の日付	datetime.date(year=year, month=month, day=1)
データフレームを二つの列によって昇順に破壊的にソートする	df.sort_values(by=['A', 'B'], ascending=True, inplace=True)
整数nを八進文字列に変換する	oct(n)[2:]
ヒストグラムの色をダークカーキに設定する	plt.hist(データ列, color='darkkhaki')
nからstep間隔で無限にカウントアップする	itertools.count(start=n, step=step)
文字列の変数名を数式に変換する	sympy.Symbol(s)
折れ線グラフのスタイルを一点鎖線に設定する	plt.plot(データ列, データ列2, linestyle='dashbot')
データフレームのカラムの分散	df[col].var()
データフレームを列の値によって集約して、それぞれのグループごとの個数を求める	df.groupby(column).count()
折れ線グラフを描画して、色をホワイトスモークに設定する	plt.plot(データ列, データ列2, color='whitesmoke')
文字列を青色にする	f'\033[34m{value}\033[0m'
ヒストグラムを描画してその色をピーチパフに変更する	plt.hist(データ列, color='peachpuff')
＜オプション＞カデットブルー色を使う	color = 'cadetblue'
グラフにx=0の点線を付ける	plt.axvline(x=0, linestyle='dotted')
タプルにキーが存在している	key not in aDict
配列の列ごとの平均値	np.mean(aArray, axis=0)
データフレームがどの程度、分散しているか見る	df.var()
棒グラフを描画する	plt.bar(ラベル列, データ列)
データフレームの中にいくつ欠損値があるか数える	df.isna().sum()
データフレームの列に重複があれば、マスクする	df.duplicated(subset=column)
折れ線グラフの色をゴールドに変更する	plt.plot(データ列, データ列2, color='gold')
＜オプション＞左三角マーカーを描画する	marker = '<'
＜オプション＞ビスクにグラフの色を指定する	color = 'bisque'
要素が全て1の配列	np.ones(要素数, dtype=np.int)
リストとリストについてカラーコードの明るいグラフをプロットする	plt.plot(xdata, ydata, linestyle='bright', color=rgb)
オブジェクトがタプルの要素でないか調べる	element not in aTuple
データ列を丸めて、整数型にする	ds.round().astype(int)
ヒストグラムの色をロージーブラウンに設定する	plt.hist(データ列, color='rosybrown')
レベッカパープル色のヒストグラムを描画する	plt.hist(データ列, color='rebeccapurple')
日付データをn日前に戻す	aDate - datetime.timedelta(days=n)
データフレームのリストカラムの最頻値	df[aList].mode()
イテラブルを2回あわせた直積	itertools.product(iterable, repeat=2)
紺碧色のヒストグラムを描画する	plt.hist(データ列, color='azure')
ミディアムパープル色の線グラフを描画する	plt.plot(データ列, データ列2, color='mediumpurple')
折れ線グラフを描画して、その色をホワイトスモークに設定する	plt.plot(データ列, データ列2, color='whitesmoke')
リストのヒストグラムを描画する	plt.hist(aList)
リストとリストについての散布図を濃い色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='deep', alpha=0.5)
ペールグリーン色の線グラフを描画する	plt.plot(データ列, データ列2, color='palegreen')
折れ線グラフに青い三角マーカーを描画する	plt.plot(データ列, データ列2, marker='^', markerfacecolor='b')
＜オプション＞グラフの色をライトグリーンに設定する	color = 'lightseagreen'
＜オプション＞グラフの色をマゼンタに設定する	color = 'magenta'
グラフのカラーパレットを濃くする	sns.set(pallete='deep')
ミディアムターコイズ色の線グラフを描画する	plt.plot(データ列, データ列2, color='mediumturquoise')
ファイルを読み込みモードでオープンして]、fとする	f = open(filepath, mode='r')
列の長さnの順列を得る	itertools.permutations(iterable, n)
データ列を10の位で丸める	ds.round(-1)
Pandasで、データフレームのカラムを日付データに変換し、データフレームのインデックスにする	df.index = pd.DatetimeIndex(pd.to_datetime(df[col]))
折れ線グラフに線幅nの下三角マーカーを描画する	plt.plot(データ列, データ列2, marker='v', markeredgewidth=n)
グラフの見栄えをいい感じに設定する	sns.set()
データ列の月	ds.dt.month
八進文字列をbytesizeバイトのバイト列に変換する	int(s, 8).to_bytes(length=bytesize, byteorder='big')
＜オプション＞パールゴールデンロッドにグラフの色をする	color = 'palegoldenrod'
ヒストグラムを描画して色をライトスレイグレーに設定する	plt.hist(データ列, color='lightslategray')
ヒストグラムを描画して、その色をピンクに設定する	plt.hist(データ列, color='pink')
ヒストグラムを描画して、その色をスカイブルーに設定する	plt.hist(データ列, color='skyblue')
折れ線グラフの色をアクアに指定する	plt.plot(データ列, データ列2, color='aqua')
リストから文字列を取り除く	aList.remove(element)
ファイルをBOM付きで書き込み用にオープンする]	open(filepath, mode='w', encoding='utf_8_sig')
折れ線グラフを描画して、その色をオレンジに設定する	plt.plot(データ列, データ列2, color='orange')
明るいの折れ線グラフの色をカラーコードにセットする	plt.plot(xdata, ydata, linestyle='bright', color=rgb)
＜オプション＞データ型を指定する	dtype = np.int16
オブジェクトはタプルクラスのインスタンスか確認する	isinstance(obj, tuple)
データフレームのリスト列の未入力値を直前の値に設定する	df[aList].fillna(method='ffill')
カラーコードの下三角マーカーで散布図を描く	plt.plot(xdata, ydata, marker='v', c=rgb)
リストとリストについて散布図を描画して、マーカーの色を明るいに設定する	plt.plot(xdata, ydata, c='bright')
データフレームから最後の列を除く	df[df.columns[:-1]]
文字列を大文字・小文字を無視して正規表現で分割する	re.split(pattern, s, flags=re.IGNORECASE)
カウンタ同士で交差	aCounter & aCounter2
折れ線グラフを描画して、その色をパールゴールデンロッドに設定する	plt.plot(データ列, データ列2, color='palegoldenrod')
＜オプション＞オールドレース色を使う	color = 'oldlace'
＜オプション＞ミディアムスプリンググリーン色を使う	color = 'mediumspringgreen'
＜オプション＞バッファリングのサイズを設定する	buffering = 4096
データフレームの列の名前リスト	df.columns
データフレームのカラムの欠損値を最小値で埋める	df[col].fillna(df[col].min())
折れ線グラフのマーカーをダイアモンドにする	plt.plot(データ列, データ列2, marker='D')
散布図に黒い左三角マーカーを用いる	plt.plot(xdata, ydata, marker='<', c='k')
ライトシアン色のヒストグラムを描画する	plt.hist(データ列, color='lightcyan')
リストを等間隔でn個にビン分割する	pd.cut(aList, n)
線グラフの色をライトサーモンにセットする	plt.plot(データ列, データ列2, color='lightsalmon')
配列とリストで淡いを描画して、線幅をnに設定する	plt.plot(xdata, ydata, linestyle='muted', color='r')
数式の微分を計算する	sympy.diff(e)
nとn2の論理積	n & n2
BOM付きとしてファイルをオープンする]	open(filepath, encoding='utf_8_sig')
データフレームのデータ型の一覧	df.dtypes
＜オプション＞右三角マーカーを描画する	marker = '>'
データフレームをCSV形式でJSONLファイルに保存する	df.to_csv(filename)
折れ線グラフを描画して、色をライトグレーに設定する	plt.plot(データ列, データ列2, color='lightgrey')
リストと数列についてパステル調のグラフを描いて、色を黒にする	plt.plot(xdata, ydata, linestyle='pastel', color='k')
ヒストグラムの色をダークスラテグレーに設定する	plt.hist(データ列, color='darkslategray')
ヒストグラムの色を小麦色に設定する	plt.hist(データ列, color='wheat')
オブジェクトのクラス	type(obj)
配列を行方向に連結する	np.concatenate([aArray, aArray2], axis=1)
シエナ色のヒストグラムを描画する	plt.hist(データ列, color='sienna')
ヒストグラムの色をネイビーに設定する	plt.hist(データ列, color='navy')
散布図にカラーコードの大バツマーカーを使う	plt.plot(xdata, ydata, marker='X', c=rgb)
行列の逆行列	np.linalg.inv(aArray)
中央値でデータフレームの中のカラムを分割する	pd.qcut(df[col], 2)
＜オプション＞複素数型を使う	dtype = bool
数値の符号をコピーにする	math.copysign(x, x2)
丸マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='o')
データフレームを二つの列の値によってグループ化し、記述統計量を求める	df.groupby(['A', 'B']).describe()
折れ線グラフを描画して、その色をダーク・スラテグレーに設定する	plt.plot(データ列, データ列2, color='darkslategrey')
実数を切り下げて整数に変換する	math.floor(x)
ファイルに文字列を書き込む	f.write(s)
データフレームの中の列を等量でビン数nでビン分割する	pd.qcut(df[col], n)
折れ線グラフのダイアモンドマーカーの大きさをnに設定する	plt.plot(データ列, データ列2, marker='D', markersize=n)
データフレームの欠損値を直前の値に設定する	df.fillna(method='ffill')
三つのデータフレームを横方向に連結する	pd.concat([df, df2, df3], axis=1)
ダークシアン色のヒストグラムを描画する	plt.hist(データ列, color='darkcyan')
データフレームのカラムの欠損値を最小値で置換する	df[col].fillna(df[col].min())
データフレームのn行目を削除する	df.drop(n, axis=0)
year年day月を日付時刻に変換する	datetime.datetime(year=year, month=month, day=1)
＜オプション＞ミディアムブルー色を使う	color = 'mediumblue'
カウンタを少ない順に列挙する	aCounter.most_common()[::-1]
カレント作業ディレクトリをfilepathに変更する	os.chdir(os.dirname(filepath))
データフレームのリストカラムの欠損値を平均値に設定する	df[aList].fillna(df[aList].mean())
黄色いダイアモンドマーカーを折れ線グラフに描画する	plt.plot(データ列, データ列2, marker='D', markerfacecolor='y')
空のキューを生成する	collections.deque()
配列とデータ列についての散布図に下三角マーカーを描く	plt.plot(xdata, ydata, marker='v')
データフレームをインデックスによってソートする	df.sort_index()
カラムの最大幅をnに指定する	pd.set_option('max_colwidth', n)
ゲインズボロ色のヒストグラムを描画する	plt.hist(データ列, color='gainsboro')
xが-9以上、9以下か調べる	-9 <= x <= 9
ダークグレー色の線グラフを描画する	plt.plot(データ列, データ列2, color='darkgrey')
両端キューを空にする	deq.clear()
リストを黄色でプリントする	print(f'\033[33m{value}\033[0m')
文字列の平仮名を片仮名に変換する	''.join([chr(ord(ch) + 96) if ('ぁ' <= ch <= 'ん') else ch for ch in s])
リストとリストについての散布図にカラーコードの丸マーカーを描画する	plt.plot(xdata, ydata, marker='o', c=rgb)
三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='^')
配列とリストの青い色差別ないを描画する	plt.plot(xdata, ydata, linestyle='colorblind', color='b')
オブジェクトはリストかタプルか調べる	isinstance(obj, (list)
文字列を右トリムする	s.rstrip()
データフレームのカラムを10の位で丸める	df[col].round(-1)
データ列の中にある文字列と文字列の合計を数える	ds.isin([value, value2]).sum()
JSON形式のバイト列を辞書に変換する	json.loads(b.decode('unicode-escape'))
リストとリストの折れ線グラフを描画して、色を文字列に設定する	plt.plot(xdata, ydata, color=s)
ヒストグラムを描画して、その色をミッドナイトブルーに設定する	plt.hist(データ列, color='midnightblue')
ヒストグラムを描画して、その色をカデットブルーに設定する	plt.hist(データ列, color='cadetblue')
標準入力を使う	sys.stdin
日付データををn時間後に進める	aDate + datetime.timedelta(hours=n)
折れ線グラフを描画してその色をシルバーに指定する	plt.plot(データ列, データ列2, color='silver')
ヒストグラムの色を青くする	plt.hist(データ列, color='b')
文字列を走査しパターンに複数行対応としてマッチするか調べる	re.search(pattern, s, flags=re.MULTILINE)
データ列を10の位で丸めて、整数型にする	ds.round(-1).astype(int)
スライド用にグラフを設定する	sns.set(context='talk')
折れ線グラフの色をオリベドラブに設定する	plt.plot(データ列, データ列2, color='olivedrab')
データフレームの列が正規表現文字列にマッチしない行を抽出する	df[not df[column].str.match(s)]
文字列全体を大文字・小文字を無視して正規表現にマッチさせる	re.fullmatch(pattern, s, flags=re.IGNORECASE)
データフレームを'A'列と'B'列によって昇順にソートして、更新する	df.sort_values(by=['A', 'B'], ascending=True, inplace=True)
タプルの最初のn要素を捨てる	aTuple[n:]
データフレームのカラムを1000の位で丸めて、整数型にする	df[col].round(-3).astype(int)
＜オプション＞ホワイト色を使う	color = 'white'
＜オプション＞グラフの色をライトサーモンに設定する	color = 'lightsalmon'
データ列がどの程度、分散しているか見る	ds.var()
線幅nの大バツマーカーを折れ線グラフに描画する	plt.plot(データ列, データ列2, marker='X', markeredgewidth=n)
行列の列ごとの分散	np.var(aArray, axis=0)
データフレームのリストカラムの中にある日付データの合計をカウントする	df[aList].isin([value]).sum()
データフレームから指定されたデータ型の列名の一覧	df.select_dtypes(型).columns
文字列を白色にする	f'\033[37m{value}\033[0m'
ファイルからnバイト読み込む	f.read(n)
selectorsでマスクされたイテラブルの要素を取り出す	itertools.compress(iterable, selectors=iterable2)
＜オプション＞アリスブルー色を使う	color = 'aliceblue'
データフレームのリスト列の中にあると文字列の数を求める	df[aList].isin([value, value2]).sum()
配列の合計値	np.sum(aArray)
茶色色の線グラフを描画する	plt.plot(データ列, データ列2, color='brown')
スタックの先頭を求める	deq[0]
ダークバイオレット色のヒストグラムを描画する	plt.hist(データ列, color='darkviolet')
ピンク色のヒストグラムを描画する	plt.hist(データ列, color='pink')
折れ線グラフを描画して、その色を暗い赤に設定する	plt.plot(データ列, データ列2, color='darkred')
ファイルを追加できるようにオープンする]	open(filepath, mode='a')
カラーコードの下三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='v', c=rgb)
ヒストグラムを描画して、その色をライトスチールブルーに設定する	plt.hist(データ列, color='lightsteelblue')
nから無限にカウントアップする	itertools.count(start=n)
0からnの範囲	range(n)
＜オプション＞ダークゴールデンロッド色を使う	color = 'darkgoldenrod'
＜オプション＞コーンフラワーブルー色を使う	color = 'cornflowerblue'
線グラフを描画して色をパールバイオレットレッドに設定する	plt.plot(データ列, データ列2, color='palevioletred')
キーがマッピングにあるか調べる	key in aDict
ヒストグラムを描画して、その色をダークゴールデンロッドに設定する	plt.hist(データ列, color='darkgoldenrod')
predicateFuncが真となるイテラブルの要素	itertools.dropwhile(predicateFunc, iterable)
データ列とラベルを指定して、棒グラフを描画する	plt.bar(ラベル列, データ列)
グラフの凡例の位置を(x,y)に設定する	plt.legend(loc=(x, y))
無限大	math.inf
折れ線グラフを描画して、その色をディムグレーに設定する	plt.plot(データ列, データ列2, color='dimgray')
リストとリストについての散布図を淡い色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='muted', alpha=0.5)
データ列の中の欠損値の合計を数える	ds.isna().sum()
＜オプション＞ディムグレー色を使う	color = 'dimgray'
日付データが金曜日か調べる	aDate.weekday() == 4
散布図をカラーコードの菱形マーカーで描画する	plt.plot(xdata, ydata, marker='D', c=rgb)
折れ線グラフの下三角マーカーを緑色にする	plt.plot(データ列, データ列2, marker='v', markerfacecolor='g')
赤色の左三角マーカーをイテラブルとリストについての散布図に描画する	plt.plot(xdata, ydata, marker='<', c='r')
折れ線グラフのバツ印の大きさをnに変更する	plt.plot(データ列, データ列2, marker='x', markersize=n)
＜オプション＞ミディアムオーキッド色を使う	color = 'mediumorchid'
文字列を黒色でプリントする	print(f'\033[30m{value}\033[0m')
データ列の中に存在する文字列の数を数える	ds.isin([value]).sum()
ヒストグラムの色をデピンクに設定する	plt.hist(データ列, color='deeppink')
折れ線グラフの色をクリムゾンに設定する	plt.plot(データ列, データ列2, color='crimson')
データフレームをグループ化し、それぞれの列に対し標準偏差を求める	df.groupby(column)[column2].std()
折れ線グラフの三角マーカーを青くする	plt.plot(データ列, データ列2, marker='^', markerfacecolor='b')
イテラブルを配列に変換する	np.array(iterable)
数式を数値計算する	float(e)
折れ線グラフを描画して、その色をペールグリーンに設定する	plt.plot(データ列, データ列2, color='palegreen')
シルバー色の線グラフを描画する	plt.plot(データ列, データ列2, color='silver')
データ列が何年か見る	ds.dt.year
数式の数値を求める	float(e)
長さnのリストを作る	[0] * n
データフレームの欠損値を最頻値に設定する	df.fillna(df.mode().iloc[0])
日付時刻データをn週間前に戻す	aDatetime - datetime.timedelta(weeks=n)
＜オプション＞整数型を使う	dtype = np.int
＜オプション＞読み込み用にする	mode = 'r'
折れ線グラフを描画して、その色を耐火レンガに設定する	plt.plot(データ列, データ列2, color='firebrick')
データフレームのカラムが何年か見る	df[col].dt.year
データフレームのカラムの欠損値を最頻値で埋める	df[col].fillna(df[col].mode().iloc[0])
全要素を0で初期化された配列	np.zeros(要素数)
折れ線グラフの色をミディアムパープルに設定する	plt.plot(データ列, データ列2, color='mediumpurple')
オプションで、標準出力に出力する	file = sys.stdout
mathモジュールをインポートする	import math
ミディアムターコイズ色のヒストグラムを描画する	plt.hist(データ列, color='mediumturquoise')
文字列中に部分文字列が存在するかどうか調べる	sub in s
ヒストグラムを描画して、その色をカーキに設定する	plt.hist(データ列, color='khaki')
データフレームをTSVファイルでJSONLファイルに保存する	df.to_csv(filename, sep='\t')
オリーブ色のヒストグラムを描画する	plt.hist(データ列, color='olive')
折れ線グラフの色をリネンに設定する	plt.plot(データ列, データ列2, color='linen')
＜オプション＞色をミディアムシアグリーンに設定する	color = 'mediumseagreen'
rangeの無限バージョン	itertools.count(start=n, step=step)
TSVファイルファイル名がか調べる	filename.endswith('.tsv')
折れ線グラフを描画して、その色をチョコレートに設定する	plt.plot(データ列, データ列2, color='chocolate')
ファイルを全部、読み込む	f.read()
オブジェクトを文字列にする	str(obj)
nにn2をかけた値をnに代入する	n *= n2
リストとリストについて散布図を描画して、マーカーの色を暗いに設定する	plt.plot(xdata, ydata, c='dark')
折れ線グラフに線幅nの星マーカーを描画する	plt.plot(データ列, データ列2, marker='*', markeredgewidth=n)
数式の微分を求める	sympy.diff(e)
ダークオーキッド色のヒストグラムを描画する	plt.hist(データ列, color='darkorchid')
折れ線グラフの色をライトグリーンに設定する	plt.plot(データ列, データ列2, color='lightgreen')
実数を実数で割った剰余	math.remainder(x, x2)
＜オプション＞グラフの色をライトスレイグレーに設定する	color = 'lightslategrey'
文字列の中で正規表現にマッチした全ての文字列をリストに変換する	re.findall(pattern, s)
ヒストグラムの色をスノーに設定する	plt.hist(データ列, color='snow')
データフレームを各列毎にグループ化して、列の最小値を求める	df.groupby(column)[column2].min()
ヒストグラムを描画して、その色をミディアムターコイズに設定する	plt.hist(データ列, color='mediumturquoise')
＜オプション＞ネイビー色を使う	color = 'navy'
＜オプション＞タン色を使う	color = 'tan'
ふたつの集合の積集合	aSet.intersection(aSet2)
辞書からキーの値	aDict.get(key)
nの十六進リテラル	hex(n)
＜オプション＞フクシア色を使う	color = 'fuchsia'
カウンタをリストに変換する	list(aCounter)
ヒストグラムを描画して、その色をネイビーに設定する	plt.hist(データ列, color='navy')
＜オプション＞大バツマーカーを描画する	marker = 'X'
文字列中の正規表現を新しい文字列を使って置換する	re.sub(pattern, newsub, s)
リストとリストの明るいグラフを描画して、その色を青にする	plt.plot(xdata, ydata, linestyle='bright', color='b')
データフレームを列名リストによってソートする	df.sort_values(by=column)
グローバル変数の一覧	globals()
リストとリストについて散布図を描画して、マーカーをバツに設定する	plt.plot(xdata, ydata, marker='x')
ダークオリーブグリーン色の線グラフを描画する	plt.plot(データ列, データ列2, color='darkolivegreen')
散布図にカラーコードの三角マーカーを使う	plt.plot(xdata, ydata, marker='^', c=rgb)
データ列と配列のカラーコードの暗いを描画する	plt.plot(xdata, ydata, linestyle='dark', color=rgb)
全要素を０で初期化された８ビット整数型の行列	np.zeros(行数, 列数, dtype=np.int8)
ホットピンク色のヒストグラムを描画する	plt.hist(データ列, color='hotpink')
ライトグレー色の線グラフを描画する	plt.plot(データ列, データ列2, color='lightgray')
散布図に黒いダイアモンドマーカーを使う	plt.plot(xdata, ydata, marker='D', c='k')
折れ線グラフに青いバツマーカーを描画する	plt.plot(データ列, データ列2, marker='x', markerfacecolor='b')
データフレームの中の列をビン数nでビン分割する	pd.cut(df[col], n)
＜オプション＞ブラック色を使う	color = 'black'
データ列のNaNを最小値に設定する	ds.fillna(ds.min())
