折れ線の線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n)
実数のサインを求める	math.sin(x)
データ列を100の位で丸める	ds.round(-2)
カデットブルーにヒストグラムの色をセットする	plt.hist(データ列, color='cadetblue')
nが負の数か	n < 0
列を配列にする	df[column].values
配列とリストの散布図にカラーコードの星マーカーを描画する	plt.plot(xdata, ydata, marker='*', c=rgb)
文字列を左寄せにする	s.ljust(文字列幅)
文字列の開始位置から終了位置までの範囲で部分文字列をカウントする	s.count(sub, start, end)
＜オプション＞グラフの線種を実線に設定する	linestyle = 'solid'
二つの列を用いて破壊的にデータフレームを昇順にソートする	df.sort_values(by=['A', 'B'], ascending=True, inplace=True)
データフレームのカラムが何年か調べる	df[col].dt.year
カンマによって文字列を分割し、、列挙する	s.split(',')
ケンドール相関係数でデータフレームのリスト列の相関行列	df[aList].corr(method='kendall')
イテラブルと配列についての散布図に黒い星マーカーを描画する	plt.plot(xdata, ydata, marker='*', c='k')
データフレームを各列と列の組み合わせ毎に分類して、最大値を求める	df.groupby([column, column2], as_index=False).max()
折れ線グラフの三角印の線幅をnにセットする	plt.plot(データ列, データ列2, marker='^', markeredgewidth=n)
実数を複素数に変換する	complex(x)
二つの変数をそれぞれ定義する	x, y = i, j
折れ線グラフの星印のサイズをnに設定する	plt.plot(データ列, データ列2, marker='*', markersize=n)
散布図に赤い▲マーカーを使う	plt.plot(xdata, ydata, marker='^', c='r')
データフレームをインデックスで昇順に整列する	df.sort_index(ascending=True)
データフレームの欠損値をxで置換する	df.fillna(x)
ヒストグラムを描画してその色をライトシアンにする	plt.hist(データ列, color='lightcyan')
折れ線グラフを描画してその色をアクアに設定する	plt.plot(データ列, データ列2, color='aqua')
＜オプション＞ライトコーラルに色をセットする	color = 'lightcoral'
重なりを見やすくリストとデータ列についての散布図を濃い色で描画する	plt.plot(xdata, ydata, c='deep', alpha=0.5)
折れ線グラフを描画してその色をカーキに変更する	plt.plot(データ列, データ列2, color='khaki')
TSVを文字化けしないように読み込む	pd.read_csv(filename, encoding='shift_jis')
配列とリストについて青い淡いグラフを描く	plt.plot(xdata, ydata, linestyle='muted', color='b')
＜オプション＞セパレータをカンマにする	sep = ','
xを浮動小数点数型にする	float(x)
文字列を青色で出力する	print(f'\033[34m{value}\033[0m')
ヒストグラムの色をゴーストホワイトにセットする	plt.hist(データ列, color='ghostwhite')
黒い菱形マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='D', c='k')
データフレームを表示するときデータフレームをn行まで表示できるようにする	pd.set_option('display.max_rows', n)
CSVファイルファイル名が	filename.endswith('.csv')
プロットの色を色差別なくする	sns.set(pallete='colorblind')
グラフの目的を論文に設定する	sns.set(context='paper')
カラムの欠損値をxに設定する	ds.fillna(x)
数列とリストについての折れ線グラフを描画してその色をカラーコードにセットする	plt.plot(xdata, ydata, color=rgb)
イテラブルをイミュータブルな集合にする	frozenset(iterable)
データフレームを列で集計してそれぞれのグループ毎の分散を計算する	df.groupby(column).var()
