talk: 返信がめんどくさい	代わりにやってあげる
talk: WAが連発。	そんなときもあるよね、頑張って！
talk: B問題が全然解けない。	B問題とA問題は難易度結構違うからね、練習あるのみ！
talk: テキスト忘れた	そんな日もある
talk: 名前を勝手に使ったこと怒ってるかな…	怒ってなかったよ！
talk: 推しがあんまり更新してくれない	忙しかったり体調悪いのかもね
talk: ホンの充電がない	イヤホン買っちゃお
talk: 全体的に前回の問題よりも難しく感じた。	難易度はどんどん上がっていくものです。一緒に頑張ろう！
talk: 人見知りで初対面の人と打ち解けられない	徐々に仲良くなれれば大丈夫だよ!
talk: 連絡するの忘れた	謝罪連絡しよう
talk: 明日の着替えがない	急いで選択しよう
talk: 空き巣に入られた	警察に届け出よう
talk: 花粉症がひどい	薬飲んだ？
talk: 関数を使い慣れていないので難しい。	今まで習った構文とは少し書き方が違うので難しいよね、だんだん慣れていこう！
talk: 眠いけど起きなきゃ	今日も一日頑張れ
talk: ブス	何を思ってそうなったん？
talk: 電車が止まった	予定狂うね
talk: 勉強のやる気が起きない	そんなときもあるよね
talk: バイトで失敗した	次は気を付けよう
talk: Colabではちゃんと出力できてもAtCoderではエラーになってしまう。	そういうこともあるよね、細かいところを確認してみよう！
talk: 定期忘れた	ドンマイ
talk: お風呂の栓をせずに沸かしてしまった	これから気を付けれれば水道ガス代も報われるよ
talk: 捻挫した	ちゃんとストレッチ？
talk: 今までif、whileを使うときは問題に条件文で書いてある場合や使って解きなさいと書かれている状況下でしかなかったので電気プラグの問題でどのように考えれば上手くたどり着くのか自力では思いつきませんでした。	周りの友だちに相談してみてもいいかもね！
talk: ゲームをぶっちしてしまった	どんまい…もっといい結果にできるよ
talk: 椅子の高さが合わない	こっちと交換すれば？
talk: 電車に傘を忘れた	しょうがないよ
talk: カレー作ろうと思ったのにルーがなかった	ポトフに変更しよう
talk: 筋トレが続かない	5分でいいから続けよ
talk: エアコンを消し忘れた	帰ったら快適だね
talk: 犬怖い	猫の方が怖いよ
talk: 志望動機が特にない	わかる
talk: もう150問終わった人がいると知りへこんだ。	その人がすごすぎるだけです
talk: 嫌なことされただけど許した	愛が無きゃ許せないよ
