x2をxとする	x = x2
x2をxに代入する	x = x2
x2をxにする	x = x2
x2をxに設定する	x = x2
x2をxにセットする	x = x2
x2をxにする	x = x2
xはx2である	x = x2
xとx2の値をスワップする	x, x2 = x2, x
xとx2をスワップする	x, x2 = x2, x
xとx2の両方ともnとする	x = x2 = n
xとx2の両方にnを代入する	x = x2 = n
xとx2の両方をnに設定する	x = x2 = n
xとx2の両方をnにセットする	x = x2 = n
xとx2の両方をnに指定する	x = x2 = n
xとx2をそれぞれnとn2とする	x, x2 = n, n2
それぞれnとn2をxとx2に代入する	x, x2 = n, n2
xとx2をそれぞれnとn2に設定する	x, x2 = n, n2
x,x2,x3をそれぞれn,n2,n3とする	x, x2, x3 = n, n2, n3
x,x2,x3にそれぞれn,n2,n3を代入する	x, x2, x3 = n, n2, n3
x,x2,x3をそれぞれn,n2,n3に設定する	x, x2, x3 = n, n2, n3
xの絶対値	abs(x)
xを論理値に変換する	bool(x)
xが真か調べる	bool(x)
xが真かどうか調べる	bool(x)
x,x2の複素数	complex(x, x2)
xとx2の商と余りをペアで使う	divmod(x, x2)
xを浮動小数点数に変換する	float(x)
xを整数に変換する	int(x)
xを印字できる文字列にする	ascii(x)
xの印字可能な文字列	ascii(x)
xの絶対値	abs(x)
xの複素数	complex(x)
xの複素数を計算する	complex(x)
xとx2から成る複素数	complex(x, x2)
xとx2からなる複素数を計算する	complex(x, x2)
xを実部、x2を虚部とした複素数	complex(x, x2)
商と余りを同時に計算する	divmod(x, x2)
xのハッシュ値	hash(x)
xのハッシュ値を計算する	hash(x)
xのx2乗	pow(x, x2)
xのx2乗のx3剰余	pow(x, x2, x3)
xのx2乗してx3による余り	pow(x, x2, x3)
xの小数点以下を丸める	round(x)
xをの小数点以下第一位で丸める	round(x, 1)
xの小数点以下第n位で丸める	round(x, n)
xを小数点第n位で四捨五入する	round(x, n)
xの小数点以下第n位で四捨五入する	round(x, n)
xの十の位で丸める	round(x, -1)
xを十の位で四捨五入する	round(x, -1)
xの十の位で四捨五入する	round(x, -1)
xの百の位で丸める	round(x, -2)
xの千の位で丸める	round(x, -3)
x、x2、x3の最大値	max(x, x2, x3)
x、x2x3の最大値	max(x, x2, x3)
x、x2、x3の最小値	min(x, x2, x3)
xx2、x3のうち一番小さい値を求める	min(x, x2, x3)
xx2x3ので最小値	min(x, x2, x3)
xを浮動小数点数型に変換する	float(x)
xを整数型に変換する	int(x)
xを文字列型に変換する	str(x)
xを文字列に変換する	str(x)
nかつn2	n and n2
nまたはn2	n or n2
nではない	not n
真	True
偽	False
未定値	None
コレクションを使う	import collections
データ構造を使用する	import collections
コレクションを用いる	import collections
空の両端キューを新しく作る	collections.deque()
空の両端キューを新しく準備する	collections.deque()
両端キューを新たに作成する	collections.deque()
リストiterableから両端キューを新しく作る	collections.deque(iterable)
リストiterableからdequeオブジェクトを新しく作る	collections.deque(iterable)
iterableからキューを生成する	collections.deque(iterable)
リストiterableを両端キューに変換する	collections.deque(iterable)
列iterableをdequeにする	collections.deque(iterable)
列iterableを両端キューにする	collections.deque(iterable)
最大長をnにして両端キューを新しく作る	collections.deque(maxlen=n)
双方向キューを最大長をnにして新しく生成する	collections.deque(maxlen=n)
デックを最大長をnに制限して生成する	collections.deque(maxlen=n)
最大長nの両端キューを新しく作る	collections.deque(maxlen=n)
最大長nの双方向キューを新規生成する	collections.deque(maxlen=n)
上限nの双方向キューを新しく作成する	collections.deque(maxlen=n)
最大長をnにしてリストiterableから両端キューを作る	collections.deque(iterable, maxlen=n)
リストiterableからdequeを上限長をnに制限して作る	collections.deque(iterable, maxlen=n)
新たに最大長をnに制限してイテラブルiterableから双方向キューを作る	collections.deque(iterable, maxlen=n)
最大長nの両端キューをリストiterableから作る	collections.deque(iterable, maxlen=n)
最大長nのdequeを配列iterableから作る	collections.deque(iterable, maxlen=n)
上限nのスタックをイテラブルiterableから新たに作る	collections.deque(iterable, maxlen=n)
リストiterableのテイルフィルタを作る	collections.deque(iterable, maxlen=n)
リストiterableのテイルフィルタを生成する	collections.deque(iterable, maxlen=n)
デックdeqの先頭に文字列elementを追加する	deq.appendleft(element)
deqの最初に文字列elementを追加する	deq.appendleft(element)
文字列elementをdeqの左に追加する	deq.appendleft(element)
デックdeqに文字列elementをエンキューする	deq.appendleft(element)
文字列elementをデックdeqにenqueueする	deq.appendleft(element)
デックdeqの末尾に文字列elementを追加する	deq.append(element)
オブジェクトelementをデックdeqの末尾に追加する	deq.append(element)
デックdeqに文字列elementをプッシュする	deq.append(element)
deqに文字列elementをプッシュする	deq.append(element)
deqにオブジェクトelementをプッシュする	deq.append(element)
デックdeqの先頭にリストiterableの各要素を追加する	deq.extendleft(iterable)
列iterableの各要素をデックdeqの最初に追加する	deq.extendleft(iterable)
デックdeqの末尾にリストiterableの各要素を追加する	deq.extend(iterable)
デックdeqの最後に配列iterableの各要素を追加する	deq.extend(iterable)
デックdeqの末尾にタプルiterableの各要素をつけ加える	deq.extend(iterable)
デックdeqのn番目に文字列elementを挿入する	deq.insert(n, element)
デックdeqのn番目にオブジェクトelementを挿入する	deq.insert(n, element)
デックdeqの先頭から要素を取り除く	deq.popleft()
デックdeqの最初から要素を取り除く	deq.popleft()
デックdeqの左から値を取り除く	deq.popleft()
デックdeqをデキューする	deq.popleft()
デックdeqの末尾から要素を取り除く	deq.pop()
デックdeqの最後から値を取り除く	deq.pop()
デックdeqをポップする	deq.pop()
deqをポップする	deq.pop()
デックdeqから最初の文字列elementを取り除く	deq.remove(element)
デックdeqからオブジェクトelementを取り出す	deq.remove(element)
オブジェクトelementをdeqから取り出す	deq.remove(element)
デックdeqを空にする	deq.clear()
deqを空にする	deq.clear()
デックdeqの要素を右にローテートする	deq.rotate()
デックdeqの値を右にひとつローテートする	deq.rotate()
デックdeqの順序を右に持ち回す	deq.rotate()
デックdeqの要素を右にn個分ローテートする	deq.rotate(n)
デックdeqの順序をn個分右にローテートする	deq.rotate(n)
デックdeqの要素をn個分持ち回す	deq.rotate(n)
デックdeqの要素を左にn個分ローテートする	deq.rotate(-n)
deqの要素を左にn個分持ち回す	deq.rotate(-n)
deqの値を左にn個分ローテートする	deq.rotate(-n)
デックdeqの最大長	deq.maxlen
デックdeqの上限長	deq.maxlen
デックdeqの大きさ	len(deq)
デックdeqが空か調べる	len(deq) == 0
デックdeqは空	len(deq) == 0
デックdeqは空か	len(deq) == 0
デックdeqが空でないか調べる	len(deq) != 0
deqが空でないか	len(deq) != 0
デックdeqが空でない	len(deq) != 0
デックdeq中に文字列elementが含まれてるか調べる	element in deq
デックdeqに文字列elementが含まれてるかどうか確認する	element in deq
deqの中に文字列elementが存在する	element in deq
デックdeqの先頭	deq[0]
デックdeqの左	deq[0]
デックdeqの末尾	deq[-1]
デックdeqの最後を見る	deq[-1]
デックdeqのn番目	deq[n]
deqのn番目	deq[n]
デックdeqのn番目の要素	deq[n]
デックdeqのstart〜endの部分要素	collections.deque(itertools.islice(deq, start, end))
deqのstart〜endの部分要素を使う	collections.deque(itertools.islice(deq, start, end))
デックdeqのstart番目からend番目の部分要素	collections.deque(itertools.islice(deq, start, end))
deqのstart番目からendのデータ	collections.deque(itertools.islice(deq, start, end))
deqのstart番目からend番目の部分要素	collections.deque(itertools.islice(deq, start, end))
デックdeq中の文字列elementのインデックス	deq.index(element)
deq中のオブジェクトelementのインデックス	deq.index(element)
デックdeq中の文字列elementの数を数える	deq.count(element)
deq中のelementの数を数える	deq.count(element)
deq中の文字列elementを数える	deq.count(element)
デックdeqの要素をインプレースに反転する	deq.reverse()
インプレースにデックdeqの要素を逆順にする	deq.reverse()
逆順のデックdeqを使う	reversed(deq)
デックdeqをリストに変換する	list(deq)
deqをリストに変換する	list(deq)
デックdeqをタプルに変換する	tuple(deq)
空のカウンタを新しく作る	collections.Counter()
カウンタを新しく作る	collections.Counter()
新たに新しいカウンタを作成する	collections.Counter()
リストiterableからカウンタを新規に作る	collections.Counter(iterable)
iterableからカウンタを新規に生成する	collections.Counter(iterable)
列iterableから新しいカウンタを新規に作成する	collections.Counter(iterable)
辞書aDictからカウンタを新規に作る	collections.Counter(aDict)
辞書aDictからカウンタを新規に生成する	collections.Counter(aDict)
辞書aDictから計数ツールを新規に生成する	collections.Counter(aDict)
カウンタaCounterのそれぞれの項目を、そのカウント回数	aCounter.elements()
aCounterの文字列を、その出現数	aCounter.elements()
カウンタaCounterの要素をその出現回数	aCounter.elements()
カウンタaCounterをカウントが多い順に列挙する	aCounter.most_common()
カウンタaCounterをカウントの多い方から列挙する	aCounter.most_common()
カウンタaCounterを出現回数が多い順に列挙する	aCounter.most_common()
カウンタaCounterを高頻出順に列挙する	aCounter.most_common()
aCounterを高頻出順にリストとして得る	aCounter.most_common()
aCounterを高頻出順に列挙する	aCounter.most_common()
カウンタaCounterをカウントが少ない順に列挙する	aCounter.most_common()[::-1]
aCounterをカウントが少ない順番に列挙する	aCounter.most_common()[::-1]
カウンタaCounterを出現の少ない方から列挙する	aCounter.most_common()[::-1]
カウンタaCounterを低頻出順に列挙する	aCounter.most_common()[::-1]
カウンタaCounterを低頻出方から列挙する	aCounter.most_common()[::-1]
カウンタaCounterを低頻出順にリストとして得る	aCounter.most_common()[::-1]
カウンタaCounterを上位n個カウントが多い順に列挙する	aCounter.most_common(n)
aCounterを上位n個出現が多い順に列挙する	aCounter.most_common(n)
